Condition,Oxygen,GR_provided,Old_Condition_key,Unnamed: 4,Unnamed: 5,Condition_key,GR_logistic_mean,GR_logistic_sd
Ac+CA,Aerobic,0.033,CA+Ac_ae,,,Ac+CA_ae,0.092026512199959,0.0027634911756079
Ac+CA,Anaerobic,0.05,CA+Ac_an,,,Ac+CA_an,0.0557501579528829,0.0083951498233516
Ac+KL,Aerobic,0.051,KL+Ac_ae,,,Ac+KL_ae,0.1229869478376679,0.0171016147875698
Ac+KL,Anaerobic,0.01,KL+Ac_an,,,Ac+KL_an,0.0252463542745057,0.0019207610318879
Ac+SA,Aerobic,0.041,SA+Ac_ae,,,Ac+SA_ae,0.1912937861102828,0.0160443121278759
Ac+SA,Anaerobic,0.023,SA+Ac_an,,,Ac+SA_an,0.0190641644359455,0.0028139580370769
Ac+SF,Aerobic,,,,,Ac+SF_ae,0.0903364508839699,0.006220573321383
Ac+SF,Anaerobic,0.032,SF+Ac_an,,,Ac+SF_an,0.0825491732719737,0.0031084421565254
Ac+pCA,Aerobic,0.047,pCA+Ac_ae,,,Ac+pCA_ae,0.2237824713685177,0.0148769846697823
Ac+pCA,Anaerobic,0.019,pCA+Ac_an,,,Ac+pCA_an,0.0249391783587969,0.0056144854292424
Ac,Aerobic,0.028,Ac_ae,,,Ac_ae,0.1543339845703619,0.037529448575766
Ac,Anaerobic,0.014,Ac_an,,,Ac_an,0.1072817048931932,0.0438172920709212
CA,Anaerobic,0.054,CA_an,,,CA_an,0.0499877034783567,0.0041045239600865
SF,Aerobic,,,,,SF_ae,0.1424113939003839,0.0246037839899608
pC,Aerobic,0.02,pC_ae,,,pC_ae,0.1258778719272178,0.0093158046766159
pC,Anaerobic,0.047,pC_an,,,pC_an,0.0832338536472184,0.0125460348574343
