family,condition_key,condition,oxygen,max_mean_abs_shap
0,CA_an,CA,Anaerobic,6.363465381944281e-05
1,pC_ae,pC,Aerobic,5.665567337633196e-05
2,ANCHOR:Ac_an,Acetate,Anaerobic,1.5382778451025577e-05
3,Ac+pCA_an,Ac+pCA,Anaerobic,0.0007060542805057389
4,Ac+SF_an,Ac+SF,Anaerobic,0.00015165667860855055
5,Ac+KL_an,Ac+KL,Anaerobic,8.822713265225675e-05
6,pC_an,pC,Anaerobic,0.0010612850629130451
7,SF_ae,SF,Aerobic,2.605495186101824e-05
8,Ac+CA_an,Ac+CA,Anaerobic,5.312212386010518e-05
9,Ac+pCA_ae,Ac+pCA,Aerobic,2.5987201871453592e-05
10,Ac+CA_ae,Ac+CA,Aerobic,0.00036947292766888315
11,ANCHOR:Ac_ae,Acetate,Aerobic,1.7461703286447393e-06
12,ANCHOR:Ac_an,Acetate,Anaerobic,0.00017971054084167865
13,Ac+CA_an,Ac+CA,Anaerobic,0.0005667197221996966
14,Ac+KL_ae,Ac+KL,Aerobic,0.00039400106994364435
15,CA_an,CA,Anaerobic,0.00025311101576551263
16,Ac+SA_ae,Ac+SA,Aerobic,4.7168984787596264e-05
17,pC_ae,pC,Aerobic,0.0007388154777391486
18,Ac+KL_ae,Ac+KL,Aerobic,0.00013054261358039373
19,ANCHOR:Ac_ae,Acetate,Aerobic,0.0005074896520646725
20,Ac+SA_an,Ac+SA,Anaerobic,0.0002445670777773284
21,ANCHOR:Ac_ae,Acetate,Aerobic,4.69586043414873e-05
22,Ac+CA_ae,Ac+CA,Aerobic,5.622483234695889e-05
23,Ac+KL_an,Ac+KL,Anaerobic,0.0003372584940122938
24,ANCHOR:Ac_ae,Acetate,Aerobic,0.0004265895463332959
25,SF_ae,SF,Aerobic,6.699477302447427e-05
26,Ac+SF_an,Ac+SF,Anaerobic,0.0004712750515617942
27,Ac+SA_an,Ac+SA,Anaerobic,5.798784862978725e-05
28,pC_ae,pC,Aerobic,0.0001517111066851568
29,Ac+SA_an,Ac+SA,Anaerobic,0.0005614974942220464
30,Ac+pCA_ae,Ac+pCA,Aerobic,9.013668205872077e-05
31,Ac+SF_an,Ac+SF,Anaerobic,9.419856176063976e-05
32,Ac+SF_ae,Ac+SF,Aerobic,7.557363676837128e-05
33,SF_ae,SF,Aerobic,0.00030067775638102656
34,ANCHOR:Ac_ae,Acetate,Aerobic,0.00012747975843600235
35,Ac+KL_ae,Ac+KL,Aerobic,0.0006549124079384431
36,Ac+SA_ae,Ac+SA,Aerobic,0.00014729574172025372
37,Ac+SF_ae,Ac+SF,Aerobic,0.0007996444850527232
38,pC_an,pC,Anaerobic,6.290186315166634e-05
39,Ac+pCA_an,Ac+pCA,Anaerobic,0.00013273219351207612
40,Ac+SF_an,Ac+SF,Anaerobic,2.8770523047030394e-05
41,ANCHOR:Ac_an,Acetate,Anaerobic,3.622867476568327e-05
42,CA_an,CA,Anaerobic,0.00014537474609981293
43,Ac+CA_an,Ac+CA,Anaerobic,0.00010995870772222938
44,CA_an,CA,Anaerobic,0.0006705513964183601
45,Ac+pCA_ae,Ac+pCA,Aerobic,0.0004787561131243085
46,Ac+KL_ae,Ac+KL,Aerobic,5.268618694112759e-05
47,Ac+KL_an,Ac+KL,Anaerobic,2.0186771961927937e-05
48,pC_an,pC,Anaerobic,0.00020004519531720326
49,Ac+SA_an,Ac+SA,Anaerobic,0.00014349475403828763
50,Ac+KL_an,Ac+KL,Anaerobic,4.504795637732864e-05
51,SF_ae,SF,Aerobic,0.00038599634274593834
52,Ac+pCA_an,Ac+pCA,Anaerobic,6.230442282816646e-05
53,Ac+CA_an,Ac+CA,Anaerobic,0.00012582007115465808
54,Ac+SA_ae,Ac+SA,Aerobic,0.0007714838667768829
